epoch;C_real;C_fake;GP;LossC;LossG;;;;;;;;;;;;;;;
71;26,1875;7,1875;0,3865;-15,1172;-7,1133;;;;;;;;;;;;;;;
72;26,1094;7,4141;0,3703;-15,0234;-7,3516;;;;;;;;;;;;;;;
73;25,7344;7,4258;0,3627;-14,6562;-7,4609;;;;;;;;;;;;;;;
74;25,3438;7,3281;0,3492;-14,5078;-7,1445;;;;;;;;;;;;;;;
75;25,2031;7,7344;0,3242;-14,2422;-7,6719;;;;;;;;;;;;;;;
76;24,7188;7,0977;0,3446;-14,2031;-7,043;;;;;;;;;;;;;;;
77;24,3281;7,457;0,3241;-13,6484;-7,3945;;;;;;;;;;;;;;;
78;24,2812;7,5273;0,324;-13,5391;-7,4414;;;;;;;;;;;;;;;
79;24,25;7,6797;0,3151;-13,4297;-7,6602;;;;;;;;;;;;;;;
80;24,4531;8,1562;0,3081;-13,2344;-8,1562;;;;;;;;;;;;;;;
81;23,9062;8,1797;0,2936;-12,7656;-8,2031;;;;;;;;;;;;;;;
82;23,6719;8,2578;0,2977;-12,4297;-8,2734;;;;;;;;;;;;;;;
83;23,8125;8,5156;0,2715;-12,6328;-8,5312;;;;;;;;;;;;;;;
84;23,5938;8,4375;0,2738;-12,4141;-8,4297;;;;;;;;;;;;;;;
85;23,5469;8,7266;0,264;-12,1953;-8,6797;;;;;;;;;;;;;;;
86;23,4062;8,8906;0,2588;-11,9453;-8,7969;;;;;;;;;;;;;;;
87;22,2969;8,1328;0,2435;-11,7578;-7,9922;;;;;;;;;;;;;;;
88;22,0781;7,9531;0,2592;-11,5312;-7,8828;;;;;;;;;;;;;;;
89;21,3594;7,5742;0,2375;-11,4453;-7,5703;;;;;;;;;;;;;;;
90;21,8125;8,1562;0,2388;-11,25;-8,0312;;;;;;;;;;;;;;;
91;21,5781;8,2969;0,2349;-10,9297;-8,25;;;;;;;;;;;;;;;
92;21,3125;8,1328;0,2235;-10,9609;-8,2031;;;;;;;;;;;;;;;
93;21,2344;8,3984;0,2156;-10,6953;-8,3281;;;;;;;;;;;;;;;
94;20,7656;8,2656;0,2042;-10,4531;-8,2188;;;;;;;;;;;;;;;
95;20,6094;8,1875;0,2115;-10,3047;-8,1719;;;;;;;;;;;;;;;
96;20,5938;8,4453;0,2022;-10,1406;-8,3594;;;;;;;;;;;;;;;
97;19,75;7,9023;0,1882;-9,9688;-7,875;;;;;;;;;;;;;;;
98;19,9219;8,1641;0,1923;-9,8203;-8,1641;;;;;;;;;;;;;;;
99;19,7656;8,2031;0,1822;-9,7422;-8,2656;;;;;;;;;;;;;;;
100;19,5781;8,1797;0,1758;-9,6406;-8,0938;;;;;;;;;;;;;;;
101;19,2031;8,0938;0,1711;-9,3906;-8,0078;;;;;;;;;;;;;;;
102;18,6094;7,4883;0,1795;-9,3203;-7,4414;;;;;;;;;;;;;;;
103;18,6406;7,8086;0,1695;-9,1406;-7,7695;;;;;;;;;;;;;;;
104;18,5938;7,832;0,1673;-9,0859;-7,8164;;;;;;;;;;;;;;;
105;19,0469;8,5156;0,1582;-8,9766;-8,5703;;;;;;;;;;;;;;;
106;18,3281;7,8516;0,1527;-8,9688;-7,8164;;;;;;;;;;;;;;;
107;18;7,7578;0,15;-8,7422;-7,7109;;;;;;;;;;;;;;;
108;17,4531;7,2578;0,1511;-8,6562;-7,2695;;;;;;;;;;;;;;;
